rxnA_time_hrs,rxnA_polarization_mP,rxnB_time_hrs,rxnB_polarization_mP
0.250055555254221,126,0.250055555254221,172
0.500055555254221,123,0.500055555254221,171
0.750055555254221,132,0.750055555254221,172
1.00005555525422,132,1.00005555525422,170
1.25005555525422,131,1.25005555525422,170
1.50005555525422,132,1.50005555525422,170
1.75008333474398,131,1.75008333474398,168
2.00008333474398,132,2.00008333474398,168
2.25008333474398,133,2.25008333474398,167
2.50008333474398,133,2.50008333474398,165
2.75008333474398,132,2.75008333474398,165
3.00011111050844,134,3.00011111050844,164
3.25011111050844,135,3.25011111050844,161
3.50011111050844,134,3.50011111050844,161
3.75011111050844,135,3.75011111050844,161
4.00011111050844,135,4.00011111050844,159
4.25011111050844,145,4.25011111050844,157
4.50011111050844,144,4.50011111050844,156
4.7501388899982,145,4.7501388899982,156
5.0001388899982,146,5.0001388899982,154
5.2501388899982,147,5.2501388899982,152
5.5001388899982,145,5.5001388899982,151
5.7501388899982,147,5.7501388899982,151
6.0001388899982,148,6.0001388899982,150
6.2501388899982,148,6.2501388899982,149
6.50016666576266,149,6.50016666576266,148
6.75016666576266,149,6.75016666576266,149
7.00016666576266,149,7.00016666576266,148
7.25016666576266,150,7.25016666576266,147
7.50016666576266,150,7.50016666576266,145
7.75016666576266,151,7.75016666576266,146
8.00019444525242,151,8.00019444525242,146
8.25019444525242,152,8.25019444525242,145
8.50019444525242,155,8.50019444525242,144
8.75019444525242,155,8.75019444525242,145
9.00019444525242,155,9.00019444525242,145
9.25019444525242,157,9.25019444525242,145
9.50019444525242,158,9.50019444525242,145
9.75022222101688,159,9.75022222101688,145
10.0002222210169,161,10.0002222210169,144
10.2502222210169,164,10.2502222210169,145
10.5002222210169,164,10.5002222210169,144
10.7502222210169,165,10.7502222210169,145
11.0002222210169,166,11.0002222210169,144
11.2502500005066,167,11.2502500005066,145
11.5002500005066,167,11.5002500005066,144
11.7502500005066,168,11.7502500005066,144
12.0002500005066,169,12.0002500005066,144
12.2502500005066,169,12.2502500005066,145
12.5002500005066,169,12.5002500005066,146
12.7502777762711,171,12.7502777762711,146
13.0002777762711,170,13.0002777762711,145
13.2502777762711,171,13.2502777762711,143
13.5002777762711,171,13.5002777762711,144
13.7502777762711,169,13.7502777762711,145
14.0002777762711,169,14.0002777762711,144
14.2502777762711,169,14.2502777762711,145
14.5003055557609,169,14.5003055557609,144
14.7503055557609,168,14.7503055557609,144
15.0003055557609,167,15.0003055557609,145
15.2503055557609,167,15.2503055557609,144
15.5003055557609,165,15.5003055557609,144
15.7503055557609,164,15.7503055557609,145
16.0003055557609,163,16.0003055557609,144
16.2503333315253,162,16.2503333315253,145
16.5003333315253,160,16.5003333315253,145
16.7503333315253,159,16.7503333315253,144
17.0003333315253,159,17.0003333315253,144
17.2503333315253,158,17.2503333315253,144
17.5003611110151,155,17.5003611110151,144
17.7503611110151,155,17.7503611110151,146
18.0003611110151,154,18.0003611110151,145
18.2503611110151,153,18.2503611110151,146
18.5003611110151,154,18.5003611110151,147
18.7503611110151,153,18.7503611110151,146
19.0003611110151,150,19.0003611110151,147
19.2503888905048,150,19.2503888905048,149
19.5003888905048,151,19.5003888905048,150
19.7503888905048,149,19.7503888905048,150
20.0003888905048,148,20.0003888905048,149
20.2503888905048,148,20.2503888905048,151
20.5003888905048,148,20.5003888905048,152
20.7503888905048,148,20.7503888905048,154
21.0004166662693,147,21.0004166662693,154
21.2504166662693,148,21.2504166662693,155
21.3075000010431,152,21.3075000010431,158
21.5575555562973,150,21.5575555562973,158
21.8075555562973,149,21.8075555562973,157
22.0575555562973,148,22.0575555562973,159
22.3075555562973,148,22.3075555562973,159
22.5575555562973,148,22.5575555562973,159
22.8075555562973,147,22.8075555562973,162
23.0575833357871,148,23.0575833357871,162
23.3075833357871,148,23.3075833357871,164
23.5575833357871,148,23.5575833357871,164
23.8075833357871,147,23.8075833357871,167
24.0575833357871,147,24.0575833357871,167
24.3075833357871,147,24.3075833357871,167
24.5575833357871,146,24.5575833357871,167
24.8075833357871,148,24.8075833357871,167
25.0576111115515,148,25.0576111115515,169
25.2822222262621,151,25.2822222262621,169
25.5322500057518,150,25.5322500057518,171
25.7822777815163,148,25.7822777815163,169
26.0322777815163,147,26.0322777815163,168
26.2822777815163,148,26.2822777815163,167
26.5322777815163,147,26.5322777815163,165
26.7822777815163,148,26.7822777815163,167
27.0323055610061,148,27.0323055610061,165
27.2823055610061,148,27.2823055610061,164
27.5323055610061,148,27.5323055610061,163
27.7823055610061,148,27.7823055610061,163
28.0323055610061,150,28.0323055610061,160
28.2823055610061,148,28.2823055610061,159
28.5323333367705,149,28.5323333367705,159
28.7823333367705,147,28.7823333367705,161
29.0323333367705,147,29.0323333367705,159
29.2823333367705,147,29.2823333367705,159
29.4172222241759,151,29.4172222241759,159
29.6672777794302,151,29.6672777794302,159
29.9172777794302,150,29.9172777794302,157
30.1672777794302,149,30.1672777794302,156
30.4172777794302,150,30.4172777794302,155
30.6672777794302,151,30.6672777794302,155
30.9172777794302,150,30.9172777794302,153
31.1673055589199,151,31.1673055589199,152
31.4173055589199,153,31.4173055589199,151
31.6673055589199,153,31.6673055589199,152
31.9173055589199,153,31.9173055589199,151
32.1673055589199,154,32.1673055589199,150
32.4173333346844,156,32.4173333346844,150
32.6673333346844,156,32.6673333346844,150
32.9173333346844,157,32.9173333346844,150
33.1673333346844,158,33.1673333346844,149
33.3266666680574,162,33.3266666680574,150
33.5767222233117,161,33.5767222233117,150
33.8267222233117,162,33.8267222233117,150
34.0767222233117,162,34.0767222233117,148
34.3267222233117,163,34.3267222233117,148
34.5767222233117,163,34.5767222233117,148
34.8267222233117,166,34.8267222233117,148
35.0767500028014,166,35.0767500028014,148
35.3267500028014,167,35.3267500028014,149
35.5767500028014,168,35.5767500028014,148
35.8267500028014,168,35.8267500028014,147
36.0767500028014,170,36.0767500028014,148
36.3267777785659,169,36.3267777785659,149
36.5767777785659,169,36.5767777785659,146
36.8267777785659,170,36.8267777785659,148
37.0767777785659,171,37.0767777785659,148
37.1425000019372,175,37.1425000019372,152
37.3925555571914,174,37.3925555571914,150
37.6425555571914,171,37.6425555571914,148
37.8925555571914,170,37.8925555571914,148
38.1425555571914,169,38.1425555571914,148
38.3925555571914,171,38.3925555571914,148
38.6425555571914,169,38.6425555571914,149
38.8925833366811,170,38.8925833366811,149
39.1425833366811,168,39.1425833366811,149
39.3925833366811,166,39.3925833366811,148
39.6425833366811,166,39.6425833366811,149
39.8925833366811,165,39.8925833366811,149
40.1425833366811,162,40.1425833366811,150
40.3925833366811,163,40.3925833366811,149
40.6426111124456,161,40.6426111124456,148
40.8926111124456,160,40.8926111124456,149
41.1426111124456,159,41.1426111124456,148
41.3926111124456,158,41.3926111124456,149
41.6426111124456,158,41.6426111124456,148
41.8926111124456,157,41.8926111124456,149
42.1426388919353,156,42.1426388919353,148
42.3926388919353,155,42.3926388919353,149
42.6426388919353,151,42.6426388919353,150
42.8926388919353,153,42.8926388919353,150
43.1426388919353,153,43.1426388919353,150
43.3926388919353,151,43.3926388919353,150
43.6426666676998,151,43.6426666676998,152
43.8926666676998,149,43.8926666676998,152
44.1426666676998,151,44.1426666676998,152
44.3926666676998,150,44.3926666676998,154
44.6426666676998,149,44.6426666676998,155
44.8926666676998,149,44.8926666676998,155
45.1426666676998,150,45.1426666676998,158
45.3926944471896,148,45.3926944471896,157
45.6426944471896,149,45.6426944471896,159
45.8926944471896,148,45.8926944471896,160
46.1591666713357,152,46.1591666713357,164
46.4092222265899,150,46.4092222265899,163
46.6592222265899,148,46.6592222265899,164
46.9092222265899,147,46.9092222265899,163
47.1592222265899,148,47.1592222265899,165
47.4092222265899,149,47.4092222265899,165
47.6592500060797,147,47.6592500060797,168
47.9092500060797,147,47.9092500060797,167
48.1592500060797,148,48.1592500060797,167
48.4092500060797,148,48.4092500060797,168
48.6592500060797,149,48.6592500060797,169
48.9092500060797,147,48.9092500060797,170
49.1592777818441,148,49.1592777818441,170
49.4092777818441,148,49.4092777818441,170
49.6592777818441,149,49.6592777818441,170
49.9092777818441,149,49.9092777818441,172
50.1592777818441,149,50.1592777818441,169
50.4092777818441,148,50.4092777818441,169
50.6593055613339,147,50.6593055613339,168
50.9093055613339,147,50.9093055613339,168
51.1593055613339,147,51.1593055613339,168
51.4093055613339,149,51.4093055613339,168
51.6593055613339,148,51.6593055613339,167
51.9093055613339,149,51.9093055613339,165
52.1593055613339,148,52.1593055613339,165
52.4093333370984,148,52.4093333370984,162
52.6593333370984,148,52.6593333370984,162
52.9093333370984,148,52.9093333370984,161
53.1593333370984,147,53.1593333370984,159
53.4093333370984,148,53.4093333370984,158
53.6593333370984,150,53.6593333370984,157
53.9093611165881,150,53.9093611165881,158
54.1593611165881,148,54.1593611165881,156
54.4093611165881,149,54.4093611165881,155
54.6593611165881,149,54.6593611165881,153
54.9093611165881,150,54.9093611165881,154
55.1593611165881,150,55.1593611165881,152
55.4093888923526,151,55.4093888923526,151
55.6593888923526,153,55.6593888923526,151
55.9093888923526,153,55.9093888923526,150
56.1593888923526,153,56.1593888923526,150
56.4093888923526,155,56.4093888923526,151
56.6593888923526,156,56.6593888923526,150
56.9093888923526,156,56.9093888923526,148
57.1594166718423,159,57.1594166718423,150
57.4094166718423,159,57.4094166718423,150
57.6594166718423,161,57.6594166718423,149
57.9094166718423,161,57.9094166718423,150
58.1594166718423,161,58.1594166718423,149
58.4094444476068,162,58.4094444476068,149
58.6594166718423,165,58.6594166718423,151
58.9094444476068,164,58.9094444476068,147
59.1594444476068,165,59.1594444476068,147
59.4094444476068,166,59.4094444476068,149
59.6594444476068,169,59.6594444476068,148
59.9094444476068,170,59.9094444476068,146
60.1594444476068,169,60.1594444476068,148
60.4094722270966,169,60.4094722270966,148
60.6594722270966,170,60.6594722270966,147
60.9094722270966,171,60.9094722270966,147
61.1594722270966,170,61.1594722270966,150
61.4094722270966,171,61.4094722270966,147
61.6594722270966,171,61.6594722270966,148
61.909500002861,169,61.909500002861,148
62.159500002861,170,62.159500002861,149
62.409500002861,169,62.409500002861,147
62.659500002861,167,62.659500002861,148
62.909500002861,168,62.909500002861,147
63.159500002861,167,63.159500002861,148
63.409500002861,165,63.409500002861,149
63.6595277823508,165,63.6595277823508,147
63.9095277823508,164,63.9095277823508,149
64.1595277823508,163,64.1595277823508,148
64.4095277823508,163,64.4095277823508,149
64.6595277823508,161,64.6595277823508,149
64.9095277823508,161,64.9095277823508,148
65.1595555618405,159,65.1595555618405,148
65.4095555618405,159,65.4095555618405,149
65.6595555618405,158,65.6595555618405,149
65.9095555618405,156,65.9095555618405,150
66.1595555618405,156,66.1595555618405,150
66.4095555618405,155,66.4095555618405,149
66.659583337605,154,66.659583337605,150
66.909583337605,153,66.909583337605,149
67.159583337605,152,67.159583337605,151
67.409583337605,152,67.409583337605,150
67.659583337605,152,67.659583337605,151
67.909583337605,151,67.909583337605,152
68.159583337605,150,68.159583337605,154
68.4096111170948,149,68.4096111170948,153
68.6596111170948,149,68.6596111170948,154
68.9096111170948,149,68.9096111170948,155
69.1596111170948,148,69.1596111170948,155
69.4096111170948,149,69.4096111170948,157
69.6596111170948,149,69.6596111170948,158
69.9096111170948,149,69.9096111170948,159
70.1596388928592,148,70.1596388928592,160
70.4096388928592,148,70.4096388928592,160
70.6596388928592,148,70.6596388928592,161
70.9096388928592,148,70.9096388928592,163
71.1596388928592,148,71.1596388928592,163
71.4096388928592,148,71.4096388928592,165
71.6596388928592,149,71.6596388928592,167
71.909666672349,148,71.909666672349,168
72.159666672349,148,72.159666672349,167
